2,-15,10,0
1,-15,5,0
3,-15,0,1
1,-15,-5,1
1,-15,-10,1
1,-15,-15,1
0,-15,15,1
2,-5,15,1
2,0,15,0
3,5,15,0
0,10,15,0
3,-10,15,0
3,15,15,0
2,15,-15,0
1,15,-10,0
1,15,-5,0
2,15,0,0
0,15,5,1
3,15,10,0
0,-5,-15,1
1,0,-15,0
2,5,-15,1
3,10,-15,1
1,-10,-15,1
3,-10,10,1
0,-10,5,1
3,-10,0,0
2,-10,-5,1
3,-10,-10,0
0,10,10,0
3,10,5,0
3,10,0,1
0,10,-5,0
3,10,-10,0
2,5,10,1
1,0,10,0
2,-5,10,0
0,5,-10,0
1,0,-10,1
2,-5,-10,0
0,-5,5,0
0,5,5,0
2,5,-5,0
1,-5,-5,0
3,0,-5,1
3,-5,0,1
2,0,5,0
2,5,0,0
1,0,0,0
4,-4,-42,0
5,8,-24,0
5,14,-24,1
5,13,-37,0
5,7,-37,1
5,8,-48,0
5,8,-42,0
5,2,-43,1
5,-4,-42,1
