3,10,-15,0
0,-15,10,1
3,-15,5,1
3,-15,0,1
0,-15,-5,1
1,-15,-10,1
1,-15,-15,1
1,-15,15,0
0,-5,15,1
1,0,15,0
3,5,15,0
2,10,15,0
2,-10,15,1
1,15,15,0
0,15,-15,1
0,15,-10,0
1,15,-5,1
0,15,0,1
2,15,5,0
2,15,10,1
2,-5,-15,1
2,0,-15,0
1,5,-15,0
3,-10,-15,0
3,-10,10,1
2,-10,5,1
2,-10,0,1
2,-10,-5,0
1,-10,-10,0
0,10,10,1
0,10,5,0
0,10,0,1
0,10,-5,0
1,10,-10,0
1,5,10,0
3,0,10,1
1,-5,10,1
1,5,-10,1
1,0,-10,0
1,-5,-10,0
2,-5,5,1
2,5,5,0
1,5,-5,0
3,-5,-5,0
1,0,-5,0
3,-5,0,1
2,0,5,1
3,5,0,1
2,0,0,1
4,-3,7,0
5,3,-13,1
5,3,-7,0
5,-13,-7,1
5,-13,2,0
5,-7,2,1
5,-7,-3,0
5,-7,7,0
5,-3,7,1
