0,-15,10,0
3,-15,5,0
3,-15,0,1
2,-15,-5,1
2,-15,-10,1
0,-15,-15,0
3,-15,15,0
1,-5,15,1
2,0,15,0
0,5,15,0
2,10,15,1
2,-10,15,0
1,15,15,0
0,15,-15,1
0,15,-10,1
0,15,-5,1
0,15,0,0
1,15,5,0
1,15,10,0
2,-5,-15,0
2,0,-15,0
0,5,-15,1
2,10,-15,1
2,-10,-15,0
2,-10,10,1
1,-10,5,1
2,-10,0,0
2,-10,-5,0
1,-10,-10,0
3,10,10,1
1,10,5,0
1,10,0,0
1,10,-5,0
3,10,-10,0
2,5,10,1
1,0,10,1
2,-5,10,0
3,5,-10,1
3,0,-10,0
1,-5,-10,0
3,-5,5,1
2,5,5,1
1,5,-5,1
2,-5,-5,1
0,0,-5,0
1,-5,0,0
2,0,5,1
3,5,0,0
1,0,0,1
4,-13,-23,0
5,6,-12,1
5,8,-24,0
5,-3,-23,1
5,3,-23,1
5,3,-11,0
5,-8,-12,1
5,-8,-24,0
5,-13,-23,1
