2,-15,10,1
1,-15,5,1
3,-15,0,0
1,-15,-5,1
3,-15,-10,1
3,-15,-15,1
0,-15,15,1
1,-5,15,0
0,0,15,0
2,5,15,1
3,10,15,1
3,-10,15,1
2,15,15,1
1,15,-15,0
0,15,-10,0
0,15,-5,0
1,15,0,1
2,15,5,0
1,15,10,0
3,-5,-15,1
3,0,-15,0
2,5,-15,1
0,10,-15,0
0,-10,-15,0
0,-10,10,1
3,-10,5,0
1,-10,0,0
1,-10,-5,0
1,-10,-10,1
0,10,10,1
0,10,5,1
0,10,0,0
2,10,-5,1
3,10,-10,0
2,5,10,0
0,0,10,0
0,-5,10,1
2,5,-10,1
1,0,-10,1
1,-5,-10,0
1,-5,5,1
1,5,5,0
0,5,-5,0
1,-5,-5,0
0,0,-5,0
0,-5,0,1
3,0,5,1
2,5,0,1
0,0,0,1
4,-2,-28,0
5,-4,-13,1
5,-3,-18,0
5,4,-18,1
5,3,-23,0
5,-2,-22,1
5,-12,-22,1
5,-2,-22,1
5,-2,-29,0
